sequence,player_name,status,attempt,failed_reason,popup_name_debug,fp_production,units_production,goods_production,guild_goods_production,critical_hit,main_attack,main_defense,defending_units_attack,defending_units_defense,gbg_attack,gbg_defense,gbg_defending_units_attack,gbg_defending_units_defense,ge_attack,ge_defense,ge_defending_units_attack,ge_defending_units_defense
21,Rex Bellator,ok,1,warning_name_mismatch_expected_Rex Bellator_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,19009,967,11458,17250,43.56,8611,7511,7725,7710,14427,13459,11658,13036,13704,12594,13920,14211
22,Aspandiat,ok,1,warning_name_mismatch_expected_Aspandiat_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,42582,1929,29745,39460,41.47,15904,14445,16388,15027,26709,24748,26149,25961,23147,22173,23657,23170
23,cvetkovic,ok,1,warning_name_mismatch_expected_cvetkovic_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,14696,1241,9365,14465,30.92,9403,9081,9305,9477,13594,12789,12718,13775,14723,14541,14506,14775
24,Mournblade,ok,1,warning_name_mismatch_expected_Mournblade_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,25358,1678,11943,14505,52.84,9038,10512,7966,10734,16266,17498,12582,16322,16231,18082,15435,18422
25,Green II,ok,1,warning_name_mismatch_expected_Green II_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,31537,1792,20640,28940,56.31,11027,10648,10215,10708,17892,18028,16626,18505,20548,20907,18804,20295
26,VFRMark.,ok,1,warning_name_mismatch_expected_VFRMark._saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,29502,1514,18169,17395,47.86,12428,12790,11149,12156,22019,22289,17006,17951,20487,21444,20702,22530
27,Blackcong,ok,1,warning_name_mismatch_expected_Blackcong_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,54963,2566,15742,37758,59.52,21704,21408,21057,21020,35132,34398,32711,33194,32250,31554,30192,30167
28,Ellwinara,ok,1,warning_name_mismatch_expected_Ellwinara_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,48845,2249,15020,31276,56.23,13871,13716,13604,14442,23763,24048,22818,27449,23981,25151,23125,25661
29,Bloody Pastor,ok,1,warning_name_mismatch_expected_Bloody Pastor_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,29020,1407,11453,27740,56.28,8706,7950,8209,8166,14679,14366,13962,14621,13834,13382,13561,14066
30,Pammy Norrie,ok,1,warning_name_mismatch_expected_Pammy Norrie_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,11584,643,7621,18005,35.51,7675,6853,7355,7048,12130,11008,11160,11324,11275,11279,11724,11788
31,Master A,ok,1,warning_name_mismatch_expected_Master A_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,34300,2070,18423,21068,43.95,11671,13293,9648,13490,20537,23467,17340,24169,22397,25466,20312,25687
32,Magnus the Terrible 439,ok,1,warning_name_mismatch_expected_Magnus the Terrible 439_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,18808,1300,7962,20860,40.31,8718,8377,9079,9447,14709,15133,15099,16867,15545,16102,15652,17277
33,Salikas,ok,1,warning_name_mismatch_expected_Salikas_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,13050,707,15202,15880,43.93,6026,5874,4924,5221,10348,10208,7794,8796,10165,9720,8022,8756
34,ChilliBeanz62,ok,1,warning_name_mismatch_expected_ChilliBeanz62_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,13925,1337,13414,21155,37.21,13834,13659,11402,12294,20973,20514,16390,18137,21605,21665,18598,19644
35,Zodman,ok,1,warning_name_mismatch_expected_Zodman_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,36732,2564,11697,34240,49.93,16482,17090,16232,18467,29651,29472,30455,31788,25310,26064,25664,27972
36,Swan76,ok,1,warning_name_mismatch_expected_Swan76_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,8576,1182,8888,12445,40.31,9323,8528,8123,8136,12664,11693,10589,10813,13830,12864,12275,12810
37,DaFunkyMonkey,ok,1,warning_name_mismatch_expected_DaFunkyMonkey_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,31613,3222,7048,15473,62.56,23866,24442,8117,9008,53322,54353,13597,15222,31706,33117,16784,18162
38,DutchTheIV,ok,1,warning_name_mismatch_expected_DutchTheIV_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,8326,696,8986,13595,47.59,6860,6024,5950,5775,10726,10182,8775,10216,9974,9516,8687,9440
